branch,counterparty,credit_account,credit_account_2,credit_amount,credit_amount_2,currency,date,debit_account,debit_amount,description,id,type
Geneva,Transfer to Venice,Cash,Exchange Fee Revenue,18059.21,284.32,florin,1416-07-13,Due from Venice,18343.53,Bill of exchange from Geneva to Venice,41595,bill_of_exchange
Florence,Florence Operations,Cash,,120.21,,florin,1416-07-13,Maintenance,120.21,Maintenance expense for Florence branch,41596,operating_expense
Rome,Rome Operations,Cash,,149.76,,florin,1416-07-13,Supplies,149.76,Supplies expense for Rome branch,41597,operating_expense
Rome,Papal Curia,Deposits Payable,,531839.83,,florin,1416-07-13,Cash,531839.83,Deposit from Papal Curia to Rome branch,41598,deposit
Rome,Apostolic Chamber,Deposits Payable,,45163.27,,florin,1416-07-13,Cash,45163.27,Deposit from Apostolic Chamber to Rome branch,41599,deposit
Bruges,Duke of Milan,Loans Receivable,Interest Income,1930.0,154.4,florin,1416-07-14,Cash,2084.4,Loan repayment from Duke of Milan with interest,41600,loan_repayment
Rome,Vatican Treasury,Deposits Payable,,46504.49,,florin,1416-07-14,Cash,46504.49,Deposit from Vatican Treasury to Rome branch,41601,deposit
Rome,Papal Curia,Deposits Payable,,1166896.63,,florin,1416-07-14,Cash,1166896.63,Deposit from Papal Curia to Rome branch,41602,deposit
Rome,Papal Curia,Deposits Payable,,2459047.05,,florin,1416-07-14,Cash,2459047.05,Deposit from Papal Curia to Rome branch,41603,deposit
Geneva,Count of Urbino,Deposits Payable,,6150.7,,florin,1416-07-15,Cash,6150.7,Deposit by Count of Urbino,41604,deposit
Rome,Sacred College,Deposits Payable,,32662.02,,florin,1416-07-15,Cash,32662.02,Deposit from Sacred College to Rome branch,41605,deposit
Rome,Grain Merchant,Trading Revenue,,1343.69,,florin,1416-07-15,Cash,1343.69,Alum sale from papal mines,41606,alum_trade
Venice,Trading Company,Cash,,11991.65,,florin,1416-07-15,Deposits Payable,11991.65,Withdrawal by Trading Company,41607,withdrawal
Florence,Silk Trader,Trading Revenue,,199214.19,,florin,1416-07-15,Cash,199214.19,Alum sale from papal mines,41608,alum_trade
Milan,Cloth Merchant,Cash,,8037.08,,florin,1416-07-15,Deposits Payable,8037.08,Withdrawal by Cloth Merchant,41609,withdrawal
Venice,Venice Operations,Cash,,57.28,,florin,1416-07-15,Security,57.28,Security expense for Venice branch,41610,operating_expense
Bruges,Cloth Merchant,Deposits Payable,,195495.83,,florin,1416-07-16,Cash,195495.83,Deposit by Cloth Merchant,41611,deposit
Rome,Sacred College,Deposits Payable,,34183.84,,florin,1416-07-16,Cash,34183.84,Deposit from Sacred College to Rome branch,41612,deposit
London,Baron,Cash,,11251.71,,florin,1416-07-16,Deposits Payable,11251.71,Withdrawal by Baron,41613,withdrawal
Rome,Papal Curia,Deposits Payable,,339838.32,,florin,1416-07-16,Cash,339838.32,Deposit from Papal Curia to Rome branch,41614,deposit
Venice,King of Naples,Cash,,11178.3,,florin,1416-07-16,Deposits Payable,11178.3,Withdrawal by King of Naples,41615,withdrawal
Rome,Jewel Trader,Trading Revenue,,105069.69,,florin,1416-07-17,Cash,105069.69,Alum sale from papal mines,41616,alum_trade
Rome,Apostolic Chamber,Deposits Payable,,179238.83,,florin,1416-07-17,Cash,179238.83,Deposit from Apostolic Chamber to Rome branch,41617,deposit
Florence,Banking House,Trading Revenue,,128909.82,,florin,1416-07-17,Cash,128909.82,Alum sale from papal mines,41618,alum_trade
Florence,Republic of Florence,Cash,,400373.58,,florin,1416-07-17,Loans Receivable - Government,400373.58,Emergency war financing for Florence defense,41619,war_financing
Venice,Spice Merchant,Cash,,295156.06,,florin,1416-07-18,Deposits Payable,295156.06,Withdrawal by Spice Merchant,41620,withdrawal
Rome,Vatican Treasury,Deposits Payable,,33868.94,,florin,1416-07-18,Cash,33868.94,Deposit from Vatican Treasury to Rome branch,41621,deposit
London,Duke of Milan,Loans Receivable,Interest Income,9438.75,755.1,florin,1416-07-18,Cash,10193.85,Loan repayment from Duke of Milan with interest,41622,loan_repayment
Rome,Papal Curia,Deposits Payable,,24804.88,,florin,1416-07-18,Cash,24804.88,Deposit from Papal Curia to Rome branch,41623,deposit
Rome,Papal Curia,Deposits Payable,,97359.49,,florin,1416-07-18,Cash,97359.49,Deposit from Papal Curia to Rome branch,41624,deposit
London,Silk Trader,Cash,,82360.16,,florin,1416-07-18,Loans Receivable,82360.16,Loan issued to Silk Trader from London branch,41625,loan_issuance
Bruges,Transfer to Florence,Cash,Exchange Fee Revenue,2001.79,53.23,florin,1416-07-18,Due from Florence,2055.02,Bill of exchange from Bruges to Florence,41626,bill_of_exchange
Milan,Armor Smith,Cash,,457239.71,,florin,1416-07-19,Loans Receivable,457239.71,Loan issued to Armor Smith from Milan branch,41627,loan_issuance
Milan,Gold Merchant,Cash,,13132.12,,florin,1416-07-19,Deposits Payable,13132.12,Withdrawal by Gold Merchant,41628,withdrawal
Milan,Wool Merchant,Cash,,834.97,,florin,1416-07-19,Deposits Payable,834.97,Withdrawal by Wool Merchant,41629,withdrawal
Rome,Apostolic Chamber,Deposits Payable,,287909.52,,florin,1416-07-19,Cash,287909.52,Deposit from Apostolic Chamber to Rome branch,41630,deposit
Bruges,Transfer to Milan,Cash,Exchange Fee Revenue,32571.54,627.46,florin,1416-07-19,Due from Milan,33199.0,Bill of exchange from Bruges to Milan,41631,bill_of_exchange
Rome,Holy See,Deposits Payable,,222693.16,,florin,1416-07-20,Cash,222693.16,Deposit from Holy See to Rome branch,41632,deposit
Geneva,Textile Merchant,Cash,,8303.85,,florin,1416-07-20,Deposits Payable,8303.85,Withdrawal by Textile Merchant,41633,withdrawal
Rome,Rome Operations,Cash,,3602.61,,florin,1416-07-20,Wages,3602.61,Wages expense for Rome branch,41634,operating_expense
Geneva,Grain Merchant,Cash,,181534.3,,florin,1416-07-20,Deposits Payable,181534.3,Withdrawal by Grain Merchant,41635,withdrawal
Bruges,Jewel Trader,Loans Receivable,Interest Income,3339.98,501.0,florin,1416-07-20,Cash,3840.98,Loan repayment from Jewel Trader with interest,41636,loan_repayment
Florence,Republic of Florence,Cash,,77299.21,,florin,1416-07-20,Loans Receivable - Government,77299.21,Emergency war financing for Florence defense,41637,war_financing
Rome,Holy See,Deposits Payable,,935734.7,,florin,1416-07-20,Cash,935734.7,Deposit from Holy See to Rome branch,41638,deposit
Florence,Textile Merchant,Cash,,49126.26,,florin,1416-07-21,Loans Receivable,49126.26,Loan issued to Textile Merchant from Florence branch,41639,loan_issuance
Rome,Cardinal's Office,Deposits Payable,,161301.19,,florin,1416-07-21,Cash,161301.19,Deposit from Cardinal's Office to Rome branch,41640,deposit
Rome,Vatican Treasury,Deposits Payable,,40012.35,,florin,1416-07-21,Cash,40012.35,Deposit from Vatican Treasury to Rome branch,41641,deposit
Rome,Vatican Treasury,Deposits Payable,,78137.9,,florin,1416-07-21,Cash,78137.9,Deposit from Vatican Treasury to Rome branch,41642,deposit
London,Banking House,Loans Receivable,Interest Income,26977.05,3776.79,florin,1416-07-21,Cash,30753.84,Loan repayment from Banking House with interest,41643,loan_repayment
London,London Operations,Cash,,279.32,,florin,1416-07-21,Supplies,279.32,Supplies expense for London branch,41644,operating_expense
Rome,Papal Court,Deposits Payable,,68323.85,,florin,1416-07-22,Cash,68323.85,Deposit from Papal Court to Rome branch,41645,deposit
Rome,Papal Court,Deposits Payable,,38058.36,,florin,1416-07-22,Cash,38058.36,Deposit from Papal Court to Rome branch,41646,deposit
Rome,Apostolic Chamber,Deposits Payable,,71174.23,,florin,1416-07-22,Cash,71174.23,Deposit from Apostolic Chamber to Rome branch,41647,deposit
Rome,Sacred College,Deposits Payable,,16919.92,,florin,1416-07-22,Cash,16919.92,Deposit from Sacred College to Rome branch,41648,deposit
Rome,Cardinal's Office,Deposits Payable,,1016204.28,,florin,1416-07-22,Cash,1016204.28,Deposit from Cardinal's Office to Rome branch,41649,deposit
Rome,Gold Merchant,Cash,,7784.12,,florin,1416-07-22,Deposits Payable,7784.12,Withdrawal by Gold Merchant,41650,withdrawal
Venice,Wine Trader,Cash,,16262.88,,florin,1416-07-23,Deposits Payable,16262.88,Withdrawal by Wine Trader,41651,withdrawal
Rome,Papal Curia,Deposits Payable,,379041.29,,florin,1416-07-23,Cash,379041.29,Deposit from Papal Curia to Rome branch,41652,deposit
Geneva,Doge of Venice,Deposits Payable,,193.14,,florin,1416-07-23,Cash,193.14,Deposit by Doge of Venice,41653,deposit
Rome,Papal Court,Deposits Payable,,224854.44,,florin,1416-07-23,Cash,224854.44,Deposit from Papal Court to Rome branch,41654,deposit
Bruges,Duke of Milan,Cash,,2667.02,,florin,1416-07-23,Deposits Payable,2667.02,Withdrawal by Duke of Milan,41655,withdrawal
Geneva,Gold Merchant,Cash,,6630.54,,florin,1416-07-24,Deposits Payable,6630.54,Withdrawal by Gold Merchant,41656,withdrawal
Milan,Count of Urbino,Cash,,11831.18,,florin,1416-07-24,Deposits Payable,11831.18,Withdrawal by Count of Urbino,41657,withdrawal
Rome,Papal Curia,Deposits Payable,,42222.2,,florin,1416-07-24,Cash,42222.2,Deposit from Papal Curia to Rome branch,41658,deposit
Rome,Apostolic Chamber,Deposits Payable,,13144.04,,florin,1416-07-24,Cash,13144.04,Deposit from Apostolic Chamber to Rome branch,41659,deposit
London,Count of Urbino,Cash,,7611.62,,florin,1416-07-25,Deposits Payable,7611.62,Withdrawal by Count of Urbino,41660,withdrawal
London,Transfer to Milan,Cash,Exchange Fee Revenue,33293.02,703.73,florin,1416-07-25,Due from Milan,33996.75,Bill of exchange from London to Milan,41661,bill_of_exchange
Rome,Wine Trader,Trading Revenue,,4602.51,,florin,1416-07-25,Cash,4602.51,Alum sale from papal mines,41662,alum_trade
Avignon,Jewel Trader,Loans Receivable,Interest Income,11771.91,2001.22,florin,1416-07-26,Cash,13773.13,Loan repayment from Jewel Trader with interest,41663,loan_repayment
Florence,Spice Merchant,Cash,,207.82,,florin,1416-07-26,Loans Receivable,207.82,Loan issued to Spice Merchant from Florence branch,41664,loan_issuance
Rome,Papal Court,Deposits Payable,,2343755.12,,florin,1416-07-26,Cash,2343755.12,Deposit from Papal Court to Rome branch,41665,deposit
Rome,Papal Curia,Deposits Payable,,38058.43,,florin,1416-07-26,Cash,38058.43,Deposit from Papal Curia to Rome branch,41666,deposit
Avignon,Doge of Venice,Loans Receivable,Interest Income,3139.65,408.15,florin,1416-07-27,Cash,3547.8,Loan repayment from Doge of Venice with interest,41667,loan_repayment
Rome,Papal Court,Deposits Payable,,17979.29,,florin,1416-07-27,Cash,17979.29,Deposit from Papal Court to Rome branch,41668,deposit
Rome,Cardinal's Office,Deposits Payable,,222348.46,,florin,1416-07-28,Cash,222348.46,Deposit from Cardinal's Office to Rome branch,41669,deposit
Rome,Wool Merchant,Trading Revenue,,12513.69,,florin,1416-07-28,Cash,12513.69,Alum sale from papal mines,41670,alum_trade
Venice,Transfer to Bruges,Cash,Exchange Fee Revenue,3616.719616,70.800384,florin,1416-07-28,Due from Bruges,3687.52,Bill of exchange from Venice to Bruges,41671,bill_of_exchange
Venice,Gold Merchant,Deposits Payable,,9523.32,,florin,1416-07-28,Cash,9523.32,Deposit by Gold Merchant,41672,deposit
Venice,Duke of Milan,Loans Receivable,Interest Income,70899.74,17724.94,florin,1416-07-28,Cash,88624.68,Loan repayment from Duke of Milan with interest,41673,loan_repayment
Rome,Cardinal's Office,Deposits Payable,,216508.28,,florin,1416-07-28,Cash,216508.28,Deposit from Cardinal's Office to Rome branch,41674,deposit
Florence,Republic of Florence,Cash,,12315.78,,florin,1416-07-28,Loans Receivable - Government,12315.78,War financing for Florentine operations against Milan,41675,war_financing
Bruges,Bruges Operations,Cash,,241.76,,florin,1416-07-28,Security,241.76,Security expense for Bruges branch,41676,operating_expense
Bruges,Armor Smith,Cash,,8368.41,,florin,1416-07-28,Deposits Payable,8368.41,Withdrawal by Armor Smith,41677,withdrawal
Rome,Papal Court,Deposits Payable,,36471.33,,florin,1416-07-29,Cash,36471.33,Deposit from Papal Court to Rome branch,41678,deposit
Bruges,Jewel Trader,Cash,,186.05,,florin,1416-07-29,Loans Receivable,186.05,Loan issued to Jewel Trader from Bruges branch,41679,loan_issuance
Rome,Holy See,Deposits Payable,,573917.45,,florin,1416-07-30,Cash,573917.45,Deposit from Holy See to Rome branch,41680,deposit
Milan,Transfer to Geneva,Cash,Exchange Fee Revenue,195134.4,2490.07,florin,1416-07-31,Due from Geneva,197624.47,Bill of exchange from Milan to Geneva,41681,bill_of_exchange
Rome,Cardinal's Office,Deposits Payable,,295513.79,,florin,1416-07-31,Cash,295513.79,Deposit from Cardinal's Office to Rome branch,41682,deposit
Rome,Holy See,Deposits Payable,,18087.09,,florin,1416-07-31,Cash,18087.09,Deposit from Holy See to Rome branch,41683,deposit
Rome,King of Naples,Loans Receivable,Interest Income,983.48,88.51,florin,1416-08-01,Cash,1071.99,Loan repayment from King of Naples with interest,41684,loan_repayment
Geneva,Gold Merchant,Loans Receivable,Interest Income,7824.9,938.988,florin,1416-08-01,Cash,8763.888,Loan repayment from Gold Merchant with interest,41685,loan_repayment
Rome,Holy See,Deposits Payable,,650225.2,,florin,1416-08-01,Cash,650225.2,Deposit from Holy See to Rome branch,41686,deposit
Florence,Republic of Florence,Cash,,9264878.18,,florin,1416-08-01,Loans Receivable - Government,9264878.18,Emergency war financing for Florence defense,41687,war_financing
Avignon,Avignon Operations,Cash,,1548.66,,florin,1416-08-01,Supplies,1548.66,Supplies expense for Avignon branch,41688,operating_expense
Rome,Papal Court,Deposits Payable,,620130.34,,florin,1416-08-01,Cash,620130.34,Deposit from Papal Court to Rome branch,41689,deposit
Milan,Armor Smith,Deposits Payable,,11734.23,,florin,1416-08-02,Cash,11734.23,Deposit by Armor Smith,41690,deposit
Rome,Vatican Treasury,Deposits Payable,,561214.39,,florin,1416-08-02,Cash,561214.39,Deposit from Vatican Treasury to Rome branch,41691,deposit
Rome,Papal Curia,Deposits Payable,,2114983.01,,florin,1416-08-02,Cash,2114983.01,Deposit from Papal Curia to Rome branch,41692,deposit
Rome,Cardinal's Office,Deposits Payable,,20719.78,,florin,1416-08-02,Cash,20719.78,Deposit from Cardinal's Office to Rome branch,41693,deposit
Florence,Silk Trader,Trading Revenue,,345.76,,florin,1416-08-02,Cash,345.76,Alum sale from papal mines,41694,alum_trade
Geneva,Cardinal,Cash,,299241.78,,florin,1416-08-03,Deposits Payable,299241.78,Withdrawal by Cardinal,41695,withdrawal
Florence,Jewel Trader,Trading Revenue,,8928.62,,florin,1416-08-03,Cash,8928.62,Alum sale from papal mines,41696,alum_trade
Milan,Trading Company,Cash,,5736.96,,florin,1416-08-03,Loans Receivable,5736.96,Loan issued to Trading Company from Milan branch,41697,loan_issuance
Rome,Papal Curia,Deposits Payable,,24022.43,,florin,1416-08-03,Cash,24022.43,Deposit from Papal Curia to Rome branch,41698,deposit
Rome,Apostolic Chamber,Deposits Payable,,2475793.47,,florin,1416-08-04,Cash,2475793.47,Deposit from Apostolic Chamber to Rome branch,41699,deposit
Bruges,Transfer to Rome,Cash,Exchange Fee Revenue,62342.263832,1065.246168,florin,1416-08-04,Due from Rome,63407.51,Bill of exchange from Bruges to Rome,41700,bill_of_exchange
Avignon,Silk Trader,Loans Receivable,Interest Income,168714.42,16871.442,florin,1416-08-04,Cash,185585.862,Loan repayment from Silk Trader with interest,41701,loan_repayment
London,London Operations,Cash,,331.03,,florin,1416-08-04,Maintenance,331.03,Maintenance expense for London branch,41702,operating_expense
Venice,Wool Merchant,Trading Revenue,,29643.04,,florin,1416-08-04,Cash,29643.04,Alum sale from papal mines,41703,alum_trade
Rome,Vatican Treasury,Deposits Payable,,8812.17,,florin,1416-08-04,Cash,8812.17,Deposit from Vatican Treasury to Rome branch,41704,deposit
Geneva,Jewel Trader,Deposits Payable,,174566.72,,florin,1416-08-04,Cash,174566.72,Deposit by Jewel Trader,41705,deposit
Venice,Trading Company,Trading Revenue,,40596.33,,florin,1416-08-04,Cash,40596.33,Alum sale from papal mines,41706,alum_trade
Rome,Apostolic Chamber,Deposits Payable,,452219.12,,florin,1416-08-04,Cash,452219.12,Deposit from Apostolic Chamber to Rome branch,41707,deposit
Rome,Vatican Treasury,Deposits Payable,,261316.36,,florin,1416-08-04,Cash,261316.36,Deposit from Vatican Treasury to Rome branch,41708,deposit
Venice,Wine Trader,Trading Revenue,,149240.89,,florin,1416-08-04,Cash,149240.89,Alum sale from papal mines,41709,alum_trade
Venice,Cloth Merchant,Loans Receivable,Interest Income,43818.36,5696.3868,florin,1416-08-05,Cash,49514.7468,Loan repayment from Cloth Merchant with interest,41710,loan_repayment
Venice,Venice Operations,Cash,,762.11,,florin,1416-08-05,Courier Services,762.11,Courier Services expense for Venice branch,41711,operating_expense
Avignon,Textile Merchant,Loans Receivable,Interest Income,4569.17,548.3004,florin,1416-08-05,Cash,5117.4704,Loan repayment from Textile Merchant with interest,41712,loan_repayment
Rome,Sacred College,Deposits Payable,,1647781.5,,florin,1416-08-05,Cash,1647781.5,Deposit from Sacred College to Rome branch,41713,deposit
Venice,Gold Merchant,Trading Revenue,,1573.53,,florin,1416-08-05,Cash,1573.53,Alum sale from papal mines,41714,alum_trade
Rome,Sacred College,Deposits Payable,,484894.56,,florin,1416-08-05,Cash,484894.56,Deposit from Sacred College to Rome branch,41715,deposit
Rome,Papal Curia,Deposits Payable,,375313.74,,florin,1416-08-05,Cash,375313.74,Deposit from Papal Curia to Rome branch,41716,deposit
Rome,Holy See,Deposits Payable,,4576.1,,florin,1416-08-06,Cash,4576.1,Deposit from Holy See to Rome branch,41717,deposit
Bruges,Bruges Operations,Cash,,2524.64,,florin,1416-08-06,Security,2524.64,Security expense for Bruges branch,41718,operating_expense
Rome,Holy See,Deposits Payable,,194701.31,,florin,1416-08-06,Cash,194701.31,Deposit from Holy See to Rome branch,41719,deposit
Rome,Papal Curia,Deposits Payable,,205081.93,,florin,1416-08-06,Cash,205081.93,Deposit from Papal Curia to Rome branch,41720,deposit
Geneva,Baron,Loans Receivable,Interest Income,241398.47,50693.68,florin,1416-08-06,Cash,292092.15,Loan repayment from Baron with interest,41721,loan_repayment
Rome,Papal Court,Deposits Payable,,126504.63,,florin,1416-08-06,Cash,126504.63,Deposit from Papal Court to Rome branch,41722,deposit
Rome,Vatican Treasury,Deposits Payable,,31609.7,,florin,1416-08-07,Cash,31609.7,Deposit from Vatican Treasury to Rome branch,41723,deposit
Rome,Holy See,Deposits Payable,,63209.76,,florin,1416-08-07,Cash,63209.76,Deposit from Holy See to Rome branch,41724,deposit
London,Doge of Venice,Cash,,14424.42,,florin,1416-08-07,Deposits Payable,14424.42,Withdrawal by Doge of Venice,41725,withdrawal
Florence,Armor Smith,Trading Revenue,,1993.6,,florin,1416-08-07,Cash,1993.6,Alum sale from papal mines,41726,alum_trade
London,Baron,Loans Receivable,Interest Income,16435.1,1314.808,florin,1416-08-08,Cash,17749.908,Loan repayment from Baron with interest,41727,loan_repayment
Rome,Holy See,Deposits Payable,,1304678.09,,florin,1416-08-08,Cash,1304678.09,Deposit from Holy See to Rome branch,41728,deposit
Rome,Sacred College,Deposits Payable,,38662.7,,florin,1416-08-08,Cash,38662.7,Deposit from Sacred College to Rome branch,41729,deposit
Rome,Cardinal's Office,Deposits Payable,,87590.16,,florin,1416-08-08,Cash,87590.16,Deposit from Cardinal's Office to Rome branch,41730,deposit
Venice,Gold Merchant,Loans Receivable,Interest Income,92862.55,13929.3825,florin,1416-08-08,Cash,106791.9325,Loan repayment from Gold Merchant with interest,41731,loan_repayment
Venice,Venice Operations,Cash,,250.27,,florin,1416-08-08,Supplies,250.27,Supplies expense for Venice branch,41732,operating_expense
Rome,Wool Merchant,Trading Revenue,,718.22,,florin,1416-08-08,Cash,718.22,Alum sale from papal mines,41733,alum_trade
Florence,Silk Trader,Cash,,2202.12,,florin,1416-08-08,Loans Receivable,2202.12,Loan issued to Silk Trader from Florence branch,41734,loan_issuance
Rome,Holy See,Deposits Payable,,170277.69,,florin,1416-08-08,Cash,170277.69,Deposit from Holy See to Rome branch,41735,deposit
Bruges,Baron,Cash,,12212.85,,florin,1416-08-08,Deposits Payable,12212.85,Withdrawal by Baron,41736,withdrawal
Milan,Milan Operations,Cash,,31.3,,florin,1416-08-08,Courier Services,31.3,Courier Services expense for Milan branch,41737,operating_expense
Florence,Spice Merchant,Trading Revenue,,945.45,,florin,1416-08-09,Cash,945.45,Alum sale from papal mines,41738,alum_trade
Milan,Cloth Merchant,Cash,,45982.27,,florin,1416-08-09,Deposits Payable,45982.27,Withdrawal by Cloth Merchant,41739,withdrawal
Rome,Apostolic Chamber,Deposits Payable,,376342.12,,florin,1416-08-09,Cash,376342.12,Deposit from Apostolic Chamber to Rome branch,41740,deposit
Rome,Sacred College,Deposits Payable,,30724.89,,florin,1416-08-10,Cash,30724.89,Deposit from Sacred College to Rome branch,41741,deposit
Rome,Sacred College,Deposits Payable,,11868.14,,florin,1416-08-10,Cash,11868.14,Deposit from Sacred College to Rome branch,41742,deposit
London,Textile Merchant,Deposits Payable,,55012.13,,florin,1416-08-10,Cash,55012.13,Deposit by Textile Merchant,41743,deposit
Florence,Silk Trader,Loans Receivable,Interest Income,1165.12,267.98,florin,1416-08-11,Cash,1433.1,Loan repayment from Silk Trader with interest,41744,loan_repayment
Geneva,Transfer to London,Cash,Exchange Fee Revenue,493242.46,5334.78,florin,1416-08-12,Due from London,498577.24,Bill of exchange from Geneva to London,41745,bill_of_exchange
Rome,Sacred College,Deposits Payable,,103388.55,,florin,1416-08-12,Cash,103388.55,Deposit from Sacred College to Rome branch,41746,deposit
Rome,Papal Court,Deposits Payable,,8299.78,,florin,1416-08-12,Cash,8299.78,Deposit from Papal Court to Rome branch,41747,deposit
Avignon,Avignon Operations,Cash,,407.82,,florin,1416-08-12,Wages,407.82,Wages expense for Avignon branch,41748,operating_expense
Rome,Apostolic Chamber,Deposits Payable,,397570.78,,florin,1416-08-12,Cash,397570.78,Deposit from Apostolic Chamber to Rome branch,41749,deposit
Rome,Papal Court,Deposits Payable,,45104.09,,florin,1416-08-12,Cash,45104.09,Deposit from Papal Court to Rome branch,41750,deposit
Venice,Count of Urbino,Loans Receivable,Interest Income,1995.45,439.0,florin,1416-08-12,Cash,2434.45,Loan repayment from Count of Urbino with interest,41751,loan_repayment
Rome,Cardinal's Office,Deposits Payable,,1667013.47,,florin,1416-08-13,Cash,1667013.47,Deposit from Cardinal's Office to Rome branch,41752,deposit
Florence,Grain Merchant,Trading Revenue,,7812.2,,florin,1416-08-14,Cash,7812.2,Alum sale from papal mines,41753,alum_trade
Milan,Milan Operations,Cash,,546.84,,florin,1416-08-14,Wages,546.84,Wages expense for Milan branch,41754,operating_expense
Rome,Holy See,Deposits Payable,,96149.71,,florin,1416-08-14,Cash,96149.71,Deposit from Holy See to Rome branch,41755,deposit
Rome,Apostolic Chamber,Deposits Payable,,58955.61,,florin,1416-08-14,Cash,58955.61,Deposit from Apostolic Chamber to Rome branch,41756,deposit
Geneva,Trading Company,Cash,,11303.44,,florin,1416-08-14,Deposits Payable,11303.44,Withdrawal by Trading Company,41757,withdrawal
Rome,Papal Court,Deposits Payable,,112785.28,,florin,1416-08-14,Cash,112785.28,Deposit from Papal Court to Rome branch,41758,deposit
Rome,Papal Curia,Deposits Payable,,49107.46,,florin,1416-08-15,Cash,49107.46,Deposit from Papal Curia to Rome branch,41759,deposit
Rome,Papal Court,Deposits Payable,,128538.64,,florin,1416-08-15,Cash,128538.64,Deposit from Papal Court to Rome branch,41760,deposit
London,King of Naples,Deposits Payable,,286504.74,,florin,1416-08-15,Cash,286504.74,Deposit by King of Naples,41761,deposit
Rome,Apostolic Chamber,Deposits Payable,,19772.06,,florin,1416-08-15,Cash,19772.06,Deposit from Apostolic Chamber to Rome branch,41762,deposit
Rome,Apostolic Chamber,Deposits Payable,,230687.63,,florin,1416-08-16,Cash,230687.63,Deposit from Apostolic Chamber to Rome branch,41763,deposit
Rome,Papal Curia,Deposits Payable,,271155.1,,florin,1416-08-16,Cash,271155.1,Deposit from Papal Curia to Rome branch,41764,deposit
Rome,Apostolic Chamber,Deposits Payable,,1308772.84,,florin,1416-08-16,Cash,1308772.84,Deposit from Apostolic Chamber to Rome branch,41765,deposit
Bruges,Grain Merchant,Deposits Payable,,5141.75,,florin,1416-08-16,Cash,5141.75,Deposit by Grain Merchant,41766,deposit
Rome,Papal Curia,Deposits Payable,,113149.36,,florin,1416-08-16,Cash,113149.36,Deposit from Papal Curia to Rome branch,41767,deposit
Avignon,Trading Company,Cash,,14478.64,,florin,1416-08-16,Deposits Payable,14478.64,Withdrawal by Trading Company,41768,withdrawal
Rome,Papal Curia,Deposits Payable,,9153.18,,florin,1416-08-17,Cash,9153.18,Deposit from Papal Curia to Rome branch,41769,deposit
Rome,Gold Merchant,Deposits Payable,,321916.12,,florin,1416-08-17,Cash,321916.12,Deposit by Gold Merchant,41770,deposit
Rome,Sacred College,Deposits Payable,,479784.37,,florin,1416-08-17,Cash,479784.37,Deposit from Sacred College to Rome branch,41771,deposit
Rome,Cardinal's Office,Deposits Payable,,207217.45,,florin,1416-08-17,Cash,207217.45,Deposit from Cardinal's Office to Rome branch,41772,deposit
Rome,Apostolic Chamber,Deposits Payable,,7443.94,,florin,1416-08-17,Cash,7443.94,Deposit from Apostolic Chamber to Rome branch,41773,deposit
Bruges,Textile Merchant,Cash,,6690.2,,florin,1416-08-18,Loans Receivable,6690.2,Loan issued to Textile Merchant from Bruges branch,41774,loan_issuance
Rome,Apostolic Chamber,Deposits Payable,,85529.41,,florin,1416-08-18,Cash,85529.41,Deposit from Apostolic Chamber to Rome branch,41775,deposit
Rome,Papal Court,Deposits Payable,,167025.33,,florin,1416-08-18,Cash,167025.33,Deposit from Papal Court to Rome branch,41776,deposit
Geneva,Trading Company,Loans Receivable,Interest Income,24302.56,5346.56,florin,1416-08-19,Cash,29649.12,Loan repayment from Trading Company with interest,41777,loan_repayment
Avignon,Transfer to Rome,Cash,Exchange Fee Revenue,52177.19,902.35,florin,1416-08-19,Due from Rome,53079.54,Bill of exchange from Avignon to Rome,41778,bill_of_exchange
Avignon,Avignon Operations,Cash,,413.12,,florin,1416-08-19,Supplies,413.12,Supplies expense for Avignon branch,41779,operating_expense
Rome,Transfer to Geneva,Cash,Exchange Fee Revenue,34410.96,513.39,florin,1416-08-19,Due from Geneva,34924.35,Bill of exchange from Rome to Geneva,41780,bill_of_exchange
Florence,Republic of Florence,Cash,,2393231.78,,florin,1416-08-19,Loans Receivable - Government,2393231.78,War financing for Florentine operations against Milan,41781,war_financing
Rome,Sacred College,Deposits Payable,,44197.62,,florin,1416-08-20,Cash,44197.62,Deposit from Sacred College to Rome branch,41782,deposit
Rome,Cardinal's Office,Deposits Payable,,66190.76,,florin,1416-08-20,Cash,66190.76,Deposit from Cardinal's Office to Rome branch,41783,deposit
Rome,Sacred College,Deposits Payable,,450122.75,,florin,1416-08-20,Cash,450122.75,Deposit from Sacred College to Rome branch,41784,deposit
Milan,Milan Operations,Cash,,358.32,,florin,1416-08-20,Wages,358.32,Wages expense for Milan branch,41785,operating_expense
Rome,Banking House,Cash,,86330.07,,florin,1416-08-21,Loans Receivable,86330.07,Loan issued to Banking House from Rome branch,41786,loan_issuance
Avignon,Transfer to Geneva,Cash,Exchange Fee Revenue,2622.83,49.44,florin,1416-08-21,Due from Geneva,2672.27,Bill of exchange from Avignon to Geneva,41787,bill_of_exchange
Rome,Cardinal's Office,Deposits Payable,,59615.14,,florin,1416-08-21,Cash,59615.14,Deposit from Cardinal's Office to Rome branch,41788,deposit
Rome,Sacred College,Deposits Payable,,674760.29,,florin,1416-08-21,Cash,674760.29,Deposit from Sacred College to Rome branch,41789,deposit
